Namespace(model='mobileVitV2', dataset='imagenet_1k', sign_type='polyfit', data_collection=False, working_directory='/home/jianming/work/SmartPAF/cvnet_work/')
2024-01-22 08:13:17 - [93m[1mDEBUG   [0m - Cannot load internal arguments, skipping.
Results: loss=1.37407,	 top1=70.7000,	 top5=88.8000
polyfit
end point: 39.73949432373047
coef: tensor([[ 6.6081e-02, -1.5038e-04,  1.4726e-07, -4.7340e-11]],
       dtype=torch.float64)
name:  conv_1.block.act
conv_1.block.act_input.pt
Epoch:61 Train Loss:8691119644.4444446564 Val Loss: 8220099328.0000000000
Epoch:62 Train Loss:8693265863.1111106873 Val Loss: 8218765056.0000000000
Epoch:63 Train Loss:8695458560.0000000000 Val Loss: 8217444608.0000000000
Epoch:64 Train Loss:8697700295.1111106873 Val Loss: 8216140032.0000000000
Epoch:65 Train Loss:8699991836.4444446564 Val Loss: 8214853888.0000000000
Epoch:66 Train Loss:8702334862.2222213745 Val Loss: 8213588992.0000000000
Epoch:67 Train Loss:8704734122.6666660309 Val Loss: 8212344832.0000000000
Epoch:68 Train Loss:8707188679.1111106873 Val Loss: 8211122944.0000000000
Epoch:69 Train Loss:8709701120.0000000000 Val Loss: 8209927936.0000000000
Epoch:70 Train Loss:8712274801.7777786255 Val Loss: 8208762368.0000000000
Epoch:71 Train Loss:8714912142.2222213745 Val Loss: 8207627776.0000000000
Epoch:72 Train Loss:8717614080.0000000000 Val Loss: 8206523648.0000000000
Epoch:73 Train Loss:8720384512.0000000000 Val Loss: 8205458432.0000000000
Epoch:74 Train Loss:8723224433.7777786255 Val Loss: 8204433408.0000000000
Epoch:75 Train Loss:8726139392.0000000000 Val Loss: 8203448832.0000000000
Epoch:76 Train Loss:8729128789.3333339691 Val Loss: 8202510592.0000000000
Epoch:77 Train Loss:8732197262.2222213745 Val Loss: 8201623296.0000000000
Epoch:78 Train Loss:8735347541.3333339691 Val Loss: 8200789248.0000000000
Epoch:79 Train Loss:8738581589.3333339691 Val Loss: 8200012288.0000000000
Epoch:80 Train Loss:8741904924.4444446564 Val Loss: 8199297024.0000000000
Epoch:81 Train Loss:8745318968.8888893127 Val Loss: 8198649088.0000000000
Epoch:82 Train Loss:8748828160.0000000000 Val Loss: 8198074368.0000000000
